date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
2022-09-27,Hungary,0,0,2082750,47457,0,0,0,0
2022-09-27,Bangladesh,737,1,2023145,29360,4316,15,7402,25
2022-09-27,Singapore,4360,2,1897307,1617,17501,8,32565,15
2022-09-27,Georgia,0,0,1780691,16900,0,0,0,0
2022-09-27,New Zealand,0,0,1779556,2030,0,0,0,0
2022-09-27,Hong Kong,3667,6,1753201,10134,33852,226,86071,314
2022-09-27,Jordan,0,0,1746997,14122,0,6,0,8
2022-09-27,Ireland,0,0,1662008,7922,0,0,0,0
2022-09-27,Pakistan,94,0,1572410,30612,516,5,1115,12
2022-09-27,Kazakhstan,68,1,1483313,19049,685,1,1405,2
2022-09-27,Norway,114,33,1462164,4098,497,33,958,94
2022-09-27,Finland,0,0,1287044,5928,0,0,0,0
2022-09-27,Morocco,20,0,1264903,16278,96,1,213,2
2022-09-27,Bulgaria,883,4,1257149,37708,3916,20,7443,50
2022-09-27,Lithuania,2224,2,1246398,9317,8203,9,17350,22
2022-09-27,Croatia,526,6,1229570,16887,4205,33,8584,74
2022-09-27,Lebanon,0,0,1215148,10672,0,10,0,24
2022-09-27,Slovenia,3948,1,1175643,6815,14465,7,28841,20
2022-09-27,Tunisia,341,3,1145686,29249,341,3,523,6
2022-09-27,Guatemala,1032,3,1121231,19775,5185,43,8681,91
2022-09-27,Costa Rica,6020,37,1117989,8970,6020,37,12197,57
2022-09-27,Cuba,3,0,1111164,8530,97,0,237,0
2022-09-27,Bolivia,0,0,1107963,22233,507,4,1644,15
2022-09-27,United Arab Emirates,334,1,1026244,2345,2525,3,5455,3
2022-09-27,Ecuador,1721,7,1003778,35894,1721,7,5576,18
2022-09-27,Nepal,42,0,999656,12017,301,1,699,2
2022-09-27,Belarus,0,0,994037,7118,0,0,0,0
2022-09-27,China,818,0,988427,5226,5703,0,12159,0
2022-09-27,Panama,0,0,986866,8497,0,7,0,10
2022-09-27,Uruguay,0,0,985422,7485,0,0,0,0
2022-09-27,Mongolia,0,0,982726,2131,0,0,0,1
2022-09-27,Latvia,1232,3,925883,5984,8288,10,17031,24
2022-09-27,Azerbaijan,140,4,820998,9907,1151,14,2735,43
